-183001.4763792126	  inf
-156402.0143583402	1.45351e-01
-152553.9368798057	2.46038e-02
-151245.3164548259	8.57808e-03
-150648.0406002108	3.94905e-03
-150247.8771073871	2.65628e-03
-149954.5149875195	1.95252e-03
-149744.2317667528	1.40231e-03
-149599.3231851565	9.67707e-04
-149504.3437655435	6.34892e-04
-149425.9687640427	5.24232e-04
-149343.0097732463	5.55185e-04
-149291.0469476425	3.47943e-04
-149242.9606868841	3.22097e-04
-149197.9660356601	3.01486e-04
-149170.2266309730	1.85923e-04
-149149.4935526831	1.38989e-04
-149130.4131718747	1.27928e-04
-149111.4327503264	1.27274e-04
-149098.0937028557	8.94569e-05
