-240393.3156586002	  inf
-207211.5838142368	1.38031e-01
-202486.2887804570	2.28042e-02
-200618.5194813392	9.22418e-03
-199806.9001810334	4.04559e-03
-199343.9051965129	2.31721e-03
-199013.6870143136	1.65653e-03
-198782.7419867155	1.16045e-03
-198614.7372088049	8.45168e-04
-198457.9024750243	7.89643e-04
-198321.0682365433	6.89487e-04
-198189.1081093672	6.65386e-04
-198061.7367632769	6.42676e-04
-197947.8198088583	5.75159e-04
-197833.8810690641	5.75600e-04
-197709.1883421935	6.30290e-04
-197627.0187658274	4.15608e-04
-197568.2663088152	2.97290e-04
-197524.1749136926	2.23170e-04
-197488.9313333868	1.78427e-04
-197453.2638075443	1.80605e-04
-197414.2558338822	1.97555e-04
-197366.3440300660	2.42697e-04
-197321.7491401864	2.25950e-04
-197287.4772162868	1.73685e-04
-197251.7205446957	1.81241e-04
-197203.8270404140	2.42804e-04
-197127.4952125452	3.87071e-04
-197079.1215296800	2.45393e-04
-197058.6234353617	1.04009e-04
-197039.3680687957	9.77139e-05
