-190340.1035368489	  inf
-166925.7158406452	1.23013e-01
-163261.5147832092	2.19511e-02
-162101.6917263586	7.10408e-03
-161601.6861427421	3.08452e-03
-161338.8247086169	1.62660e-03
-161167.3463809152	1.06285e-03
-161055.0866226847	6.96542e-04
-160971.9589097334	5.16145e-04
-160928.0549034097	2.72743e-04
-160888.9222925390	2.43168e-04
-160854.7200176991	2.12583e-04
-160822.4099048781	2.00865e-04
-160790.6260159367	1.97633e-04
-160757.7318844068	2.04577e-04
-160727.6417381470	1.87177e-04
-160703.1156484777	1.52594e-04
-160684.5398327112	1.15591e-04
-160670.7715979981	8.56849e-05
